
Connecting to Server...

FirstPortion DataStats:
real | 1 | 36 | 18.0857142857143 | 35 | 35
text | 16 Cyg B b | ups And d | N/A | 35 | 35
real | 0.0085 | 10.19 | 1.84946371428571 | 35 | 35
real | 0.12959 | 3.15 | 1.54469114285714 | 35 | 32
real | 0.0 | 0.83 | 0.270314285714286 | 35 | 29
real | 30.23 | 1800.0 | 727.929951428571 | 35 | 35
text | habitable | habitable | N/A | 35 | 1
text | 16 Cyg B | ups And | N/A | 35 | 35
real | 4.7 | 190.0 | 40.0774285714286 | 35 | 33
real | -162.304 | 167.296 | 14.4065428571429 | 35 | 35
real | -80.205 | 65.594 | -22.02 | 35 | 35
text | F8 V | M4 V | N/A | 35 | 29
real | -0.55 | 0.4 | 0.0493428571428571 | 35 | 28
real | 0.0 | 1.3 | 0.945942857142857 | 35 | 26
real | 4.09 | 12.0 | 7.47857142857143 | 35 | 34
real | 0.009 | 5.314 | 2.08017142857143 | 35 | 35
real | 0.09 | 2.2 | 1.26971428571429 | 35 | 34
real | 0.13 | 3.17 | 1.82885714285714 | 35 | 34
text | D:\Docs\whiteboard photos | http://www.yahoo.com/ | N/A | 35 | 35
text | <b>16 Cyg B</b> | <b>ups And</b> | N/A | 35 | 35

SecondPortion DataStats:
real | 37 | 46 | 41.5 | 10 | 10
text | HD 125612 b | HD 86264 b | N/A | 10 | 10
real | 1.16 | 17.7 | 5.085 | 10 | 10
real | 1.28 | 3.695 | 1.9976 | 10 | 10
real | 0.34 | 0.97 | 0.6065 | 10 | 10
real | 502.0 | 2134.76 | 973.316 | 10 | 10
text | habitable | habitable | N/A | 10 | 1
text | HD 125612 | HD 86264 | N/A | 10 | 10
real | 36.02 | 89.1 | 55.602 | 10 | 10
real | -169.196 | 175.462 | -29.522 | 10 | 10
real | -60.078 | 53.382 | -15.3991 | 10 | 10
text | F7V | G5V | N/A | 10 | 10
real | -0.05 | 0.36 | 0.20191 | 10 | 10
real | 0.99 | 1.48 | 1.143 | 10 | 9
real | 5.94 | 8.58 | 7.723 | 10 | 10
real | 1.478 | 7.25 | 2.9328 | 10 | 10
real | 1.16 | 2.57 | 1.573 | 10 | 10
real | 1.67 | 3.7 | 2.265 | 10 | 10

Closing connection to database...
