"applicants","year","row_num","col_num","branch_type","grouping_title","reader_name","grouping_nametag","pct_change_vs_prior_record","academic_rating","non_academic_rating","onetest","rejected","confirm_admit","admit","admit_and_cancel","race_african_american","race_asian","race_hispanic","race_white","race_foreign","race_native_unknown","male","female","catholic","legacy","sibling","athlete","first_generation","public_school","catholic_school","private_school","na_school","science","arts","business","engineering","architecture","status_rotation","rejected_pct","confirm_admit_pct","admit_pct","admit_and_cancel_pct","race_rotation","african_american_pct","asian_pct","hispanic_pct","white_pct","foreign_pct","native_unknown_pct","cohort_rotation","male_pct","female_pct","catholic_pct","legacy_pct","sibling_pct","athlete_pct","first_generation_pct","hs_rotation","public_school_pct","catholic_school_pct","private_school_pct","na_school_pct","college_rotation","science_pct","arts_pct","business_pct","engineering_pct","architecture_pct"
"9775",2010,"1","1","Status","Reject","TOTAL","2010 Reject - 9775 applicants","0","11.375","10.1851","1286.1003","9775","0","0","0","331","812","995","6571","791","275","4944","4831","6680","615","515","15","1129","4939","3027","1051","758","2448","3799","1864","1379","285","0.0000","1.0000","0.0000","0.0000","0.0000","1.0000","0.0339","0.0831","0.1018","0.6722","0.0809","0.0281","2.0000","0.5058","0.4942","0.6834","0.0629","0.0527","0.0015","0.1155","3.0000","0.5053","0.3097","0.1075","0.0775","4.0000","0.2504","0.3886","0.1907","0.1411","0.0292"
"11714",2011,"1","1","Status","Reject","TOTAL","2011 Reject - 11714 applicants","0.198363171","11.7923","10.2648","1290.0845","11714","0","0","0","430","1017","1356","7492","1069","350","5800","5914","7743","685","569","25","1464","5962","3462","1269","1021","3056","4386","2374","1618","280","0.0000","1.0000","0.0000","0.0000","0.0000","1.0000","0.0367","0.0868","0.1158","0.6396","0.0913","0.0299","2.0000","0.4951","0.5049","0.6610","0.0585","0.0486","0.0021","0.1250","3.0000","0.5090","0.2955","0.1083","0.0872","4.0000","0.2609","0.3744","0.2027","0.1381","0.0239"
"12239",2012,"1","1","Status","Reject","TOTAL","2012 Reject - 12239 applicants","0.044818166","11.7086","9.6682","1292.1619","12239","0","0","0","444","1293","1462","7405","1183","452","5974","6265","7426","680","539","25","1838","6233","3461","1249","1296","3282","4314","2581","1822","240","0.0000","1.0000","0.0000","0.0000","0.0000","1.0000","0.0363","0.1056","0.1195","0.6050","0.0967","0.0369","2.0000","0.4881","0.5119","0.6067","0.0556","0.0440","0.0020","0.1502","3.0000","0.5093","0.2828","0.1021","0.1059","4.0000","0.2682","0.3525","0.2109","0.1489","0.0196"
"13125",2013,"1","1","Status","Reject","TOTAL","2013 Reject - 13125 applicants","0.072391535","11.8119","9.1786","1294.7101","13125","0","0","0","489","1359","1664","7954","1298","361","6462","6663","8137","758","537","39","1813","6882","3478","1312","1453","2963","4821","2772","2393","176","0.0000","1.0000","0.0000","0.0000","0.0000","1.0000","0.0373","0.1035","0.1268","0.6060","0.0989","0.0275","2.0000","0.4923","0.5077","0.6200","0.0578","0.0409","0.0030","0.1381","3.0000","0.5243","0.2650","0.1000","0.1107","4.0000","0.2258","0.3673","0.2112","0.1823","0.0134"
"13538",2014,"1","1","Status","Reject","TOTAL","2014 Reject - 13538 applicants","0.031466667","11.3658","8.9681","1301.8895","13538","0","0","0","568","1453","1785","7897","1449","386","6626","6912","8525","768","583","48","2575","7082","3527","1324","1605","3758","3898","3204","2403","275","0.0000","1.0000","0.0000","0.0000","0.0000","1.0000","0.0420","0.1073","0.1319","0.5833","0.1070","0.0285","2.0000","0.4894","0.5106","0.6297","0.0567","0.0431","0.0035","0.1902","3.0000","0.5231","0.2605","0.0978","0.1186","4.0000","0.2776","0.2879","0.2367","0.1775","0.0203"
"13764",2015,"1","1","Status","Reject","TOTAL","2015 Reject - 13764 applicants","0.016693751","11.5069","8.6473","1296.1508","13764","0","0","0","640","1413","1937","7993","1343","438","6730","7034","8978","871","575","20","2732","7128","3633","1238","1765","3865","3837","3330","2515","217","0.0000","1.0000","0.0000","0.0000","0.0000","1.0000","0.0465","0.1027","0.1407","0.5807","0.0976","0.0318","2.0000","0.4890","0.5110","0.6523","0.0633","0.0418","0.0015","0.1985","3.0000","0.5179","0.2639","0.0899","0.1282","4.0000","0.2808","0.2788","0.2419","0.1827","0.0158"
"13315",2016,"1","1","Status","Reject","TOTAL","2016 Reject - 13315 applicants","-0.032621331","11.7631243","8.797183627","1282.699211","13315","0","0","0","817","1243","1965","7550","1264","476","6497","6818","8567","728","498","12","2793","7063","3430","1133","1689","3891","3696","3076","2455","197","0.0000","1.0000","0.0000","0.0000","0.0000","1.0000","0.0614","0.0934","0.1476","0.5670","0.0949","0.0357","2.0000","0.4879","0.5121","0.6434","0.0547","0.0374","0.0009","0.2098","3.0000","0.5305","0.2576","0.0851","0.1268","4.0000","0.2922","0.2776","0.2310","0.1844","0.0148"
"975",2010,"1","2","Status","Admit","TOTAL","2010 Admit - 975 applicants","0","5.3369","9.5672","1452.5333","0","0","975","0","78","182","151","471","66","27","522","453","631","52","27","3","106","514","286","119","56","339","295","123","193","25","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","0.0800","0.1867","0.1549","0.4831","0.0677","0.0277","2.0000","0.5354","0.4646","0.6472","0.0533","0.0277","0.0031","0.1087","3.0000","0.5272","0.2933","0.1221","0.0574","4.0000","0.3477","0.3026","0.1262","0.1979","0.0256"
"989",2011,"1","2","Status","Admit","TOTAL","2011 Admit - 989 applicants","0.014358974","5.4252","9.7391","1459.8888","0","0","989","0","106","141","158","495","68","21","508","481","633","46","32","3","103","540","263","125","61","321","294","152","201","21","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","0.1072","0.1426","0.1598","0.5005","0.0688","0.0212","2.0000","0.5137","0.4863","0.6400","0.0465","0.0324","0.0030","0.1041","3.0000","0.5460","0.2659","0.1264","0.0617","4.0000","0.3246","0.2973","0.1537","0.2032","0.0212"
"956",2012,"1","2","Status","Admit","TOTAL","2012 Admit - 956 applicants","-0.033367037","5.6166","8.7986","1458.4728","0","0","956","0","105","146","160","463","52","30","496","460","609","64","38","8","107","528","266","111","51","323","281","151","186","15","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","0.1098","0.1527","0.1674","0.4843","0.0544","0.0314","2.0000","0.5188","0.4812","0.6370","0.0669","0.0397","0.0084","0.1119","3.0000","0.5523","0.2782","0.1161","0.0533","4.0000","0.3379","0.2939","0.1579","0.1946","0.0157"
