lat,lon,num_pix,adult_fun,kid_fun,history,ecology,goofiness # name
34.537524,-117.294435,0,3,2,10,0,10 # Rt 66 Museum Victorville CA
35.265843,-116.072392,5,4,6,1,7,10 # Baker CA
35.612938,-115.387500,1,9,10,1,0,5 # Primm NV
34.920615,-115.066812,36,8,8,10,8,7 # Goffs CA
34.569427,-115.488235,6,2,2,2,10,2 # Cadiz Summit CA
34.106879,-117.349997,6,6,7,7,0,10 # Rialto CA
34.311853,-117.473067,11,8,8,8,9,2 # SR-138,&,I-15 near Phelan CA
34.608815,-117.341710,1,3,3,8,5,1 # Oro Grand CA
34.819547,-116.643517,4,5,4,8,6,7 # Bagdad Cafe CA
34.720470,-116.162007,1,3,4,9,8,6 # Ludlow CA
34.557158,-115.781354,7,7,8,7,9,6 # Amboy Crater CA
36.111995,-115.062025,15,7,8,5,9,7 # Henderson - Ethyl M.  NV
36.059613,-115.453033,7,8,9,7,10,7 # Bonnie Springs NV
34.000000,-117.983330,0,0,0,0,0,0 # SW corner
37.000000,-115.016670,10,10,10,10,10,10 # NE corner
